	327
Thump	3
Thunder	14
Thunderbearer	1
Thunderer	1
Thurio	21
Thurio;	2
Thurios	1
Thursday	16
Thursday;	1
Thus	179
Thy	400
Thyreus	1
Thyreus;	1
Thyself	11
Tiber	7
Tiber;	1
Tiberio	1
Tibey	1
Tibs	1
Tickle	1
Tickled	1
Tickling	1
Tide	1
Tidings	1
Tie	3
Tied	2
Ties	1
Tiger	2
Tiger;	1
Tigers	2
Till	205
Tillyfally	1
Tillyvally	1
Tiltyard;	1
Timandra	3
Time	60
Timepleasers	1
Times	12
Timon	72
Timon;	4
Timons	28
Tincture	1
Tire	1
Tired	2
Tis	646
Tisick	1
Titan	3
Titania	8
Titania;	1
Titans	3
Titinius	24
Titinius;	2
Titled	1
Titus	56
To	3348
Toad	2
Toadstool	1
Toby	34
Toby;	2
Tobys	1
Today	14
Together	15
Together;	1
Tokens	1
Told	8
Toledo	1
Tom	25
Tombless	1
Tomorrow	65
Tomorrows	1
Toms	5
Tomyris	1
Tone	1
Tongue	7
Tongues	2
Tonguetied	2
Tonight	10
Too	60
Took	10
Tooth	1
Toothd	1
Topas	16
Topple	1
Torchbearers	2
Torches	1
Torment	2
Torments	2
Tortive	1
Toryne	2
Tot	3
Tou	1
Touch	7
Touchd	1
Touches	3
Touching	12
Touchstone	3
Touraine	5
Tours	3
Toward	9
Towards	12
Tower	63
Tower;	3
Towerhill	1
Towerwalls	1
Towho	1
Town	4
Towr	2
Towton	1
Trace	1
TradeMark	1
Tradition	1
Traducd	3
Traffic	1
Traffics	1
Trail	1
Trailst	1
Train	4
Traitor	3
Traitors	5
Trampling	1
Tranio	33
Tranio;	1
Transform	2
Transformd	1
Transformed	2
Translate	1
Translates	1
Transparent	2
Transport	1
Transported	2
Transports	1
Travel	1
Traveller	3
Traveller;	1
Travellers	2
Travelling	1
Travers	3
Traverse	2
Tray	1
Treachery	1
Tread	2
Treason	7
Treasons	1
Trebles	1
Trebonius	11
Trebonius;	1
Tremble	4
Trembled	1
Trembling	1
Tremblingly	1
Trenched	1
Trent	4
Tressel	1
Trib	1
Tribunal	1
Tribune	8
Tribunes	23
Trifles	1
Trigon	1
Trillion	1
Trim	2
Trimmd	2
Trinculo	13
Trinculo;	1
Trinculobe	1
Trinculos	2
Trip	5
Tripleturnd	1
Tripoli	1
Tripolis	3
Trippd	1
Trips	1
Triton	1
Triumph	1
Triumphant	1
Triumphantly	1
Triumphs	1
Triumvir	2
Triumvirate	1
Triumvirs	1
Troiant	1
Troien	1
Troilus	87
Troilus;	4
Troiluses	1
Trojan	3
Trojans	1
Troop	2
Tropically	1
Trot	1
Troth	8
Trouble	5
Troubled	1
Troubles	1
Trow	2
Trowest	1
Troy	89
Troy;	3
Troyan	32
Troyan;	2
Troyannow	1
Troyans	11
Troys	1
Trudge	1
True	48
True;	11
Truly	48
Trumpet	11
Trumpeters	1
Trumpets	21
Trust	20
Truth	3
Truths	2
Try	6
Ts	1
Ts;	1
Tubal	8
Tubal;	1
Tucket	6
Tuesday	8
Tug	2
Tullus	9
Tully;	1
Tullys	1
Tundeck	1
Tune	2
Tunis	6
Tunis;	3
Turk	17
Turkey	1
Turkish	9
Turks	8
Turlygod	1
Turn	32
Turnbull	1
Turnd	3
Turning	12
Turns	8
Turph	1
Tuscan	2
Tush	18
Tut	33
Tuwhit	2
Tuwho	1
Tuwho;	2
Twas	58
Tweaks	1
Tween	3
Twelve	3
Twenty	5
Twentythree	2
Twere	30
Twice	9
Twicesod	1
Twill	21
Twinborn	1
Twinkling	1
Twinnd	1
Twixt	19
Two	64
Twould	10
Tyb	17
Tybalt	53
Tybalt;	2
Tybalts	11
Tyburn	1
Tying	3
Tymbria	1
Typhon	1
Typhons	1
Tyrannical	1
Tyranny	1
Tyrant	2
Tyrants	1
Tyrian	1
Tyrrel	7
U	1
ULYSSES	94
UNDER	2
URSWICK	2
US	1
USE	221
USED	221
USHER	2
Ugly	1
Ulysses	20
Umfrevile	1
Un	1
Unable	1
Unapt	2
Unarm	4
Unarmd	1
Unbated	1
Unbind	2
Unbuckle	1
Unbuckling	1
Unburthend	1
Uncapable	1
Uncase	1
Uncertain	4
Unchain	1
Uncharitably	1
Unclaimd	1
Unclaspd	1
Uncle	20
Uncleanly	1
Uncles	1
Uncomfortable	1
Uncouple	2
Uncover	1
Undaunted	1
Under	88
Understand	1
Undo	1
Undoing	1
Undone	3
Uneasy	1
Uneath	1
Unequal	1
Uneven	1
Unfatherd	1
Unfeeling	1
Unfit	4
Unfix	1
Unfold	4
Unfought	1
Unfriended	1
Unfurnish	1
Unfurnishd	1
Ungartred	1
Ungentle	1
Ungovernd	1
Ungracious	1
Unguided	1
Unhand	1
Unhappily	1
Unhappy	4
Unheard	1
Unheedful	1
Unhousled	1
Uninhabitable	1
Unite	1
Unkind	2
Unkindness	2
Unknown	3
Unlawfully	1
Unlearned	1
Unless	89
Unlike	4
Unlikely	1
Unloading	1
Unlocks	1
Unlooked	2
Unmannerd	1
Unmannerly	2
Unmask	1
Unmasking	1
Unmasks	2
Unmerciful	1
Unmeritable	1
Unmixd	1
Unmoved	1
Unmuffles	1
Unmuffling	2
Unnatural	3
Unpeg	1
Unpeopled	1
Unplagud	1
Unpleasing	2
Unpolicied	1
Unpruned	1
Unquestiond	1
Unquiet	1
Unready	1
Unreal	1
Unreasonable	1
Unreconciled	1
Unreconciliable	1
Unregistred	1
Unreverent	1
Unrippdst	1
Unsafe	1
Unsavoury	1
Unseal	1
Unseemly	1
Unseen	3
Unseparable	1
Unshaked	1
Unsheathe	2
Unshout	1
Unsifted	1
Unsolicited	1
Unsounded	1
Unspeak	1
Unstaid	1
Unstate	1
Unswear	1
Untainted	1
Untent	1
Unthread	1
Unthrifty	1
Untie	1
Until	35
Untimely	4
Unto	72
Untouchd	1
Untutord	1
Untwine	1
Unveiling	2
Unvenerable	1
Unwhippd	1
Unwieldy	1
Unwilling	2
Unwillingly	1
Unwisely	1
Unworthy	5
Unyoke	1
Up	30
Upbraid	1
Upbraided	1
Upbraids	1
Uplift	1
Upon	328
Upons	1
Upright	1
Uproar	1
Upward	1
Urchinfield	1
Urgd	2
Urge	10
Urs	19
Ursa	1
Ursley	1
Ursula	16
Us	2
Usd	2
Use	19
Useth	1
Usher	1
Using	3
Usurp	1
Usurpd	1
Usurping	1
Usurps	1
Ut	1
Utter	2
Uttering	2
V	97
V120893	1
VALENTINE	167
VALERIA	20
VARRIUS	6
VARRO	8
VARROS	22
VAUGHAN	5
VAUX	7
VELUTUS	2
VENICE	22
VENTIDIUS	13
VERGERS	1
VERNON	18
VERONA	1
VERSION	221
VERSIONS	1
VI	27
VI;	1
VII	20
VIII	8
VINCENTIO	31
VIOLA	137
VIOLENTA	2
VIRGILIA	35
VISION	1
VOLSCE	10
VOLSCIAN	1
VOLUMNIA	67
VOLUMNIUS	4
Vagabond	1
Vail	1
Vailing	1
Vain	2
Valance	1
Valence	1
Valentine	59
Valentine;	4
Valentines	3
Valentinus	3
Valentio	1
Valeria	3
Valerius	1
Valiant	6
Valiant;	1
Valiantly	1
Valors	1
Valour	2
Values	1
Valuing	1
Vanilla	1
Vanish	1
Vanity	1
Vanquish	1
Vanquishd	1
Vapians	1
Varlet	2
Varrius	2
Varrius;	1
Varro	8
Varros	1
Varying	1
Vat	5
Vaudemont	2
Vaughan	6
Vaughan;	1
Vaulting	1
Vaumond	1
Vaunt	1
Vauntcouriers	1
Vaux	2
Veal	1
Veiling	1
Vell	1
Velutus	1
Venetia	2
Venetian	11
Venetians	1
Vengeance	4
Veni	1
Venice	61
Venice;	3
Vent	2
Ventidius	11
Ventidiuss	1
Venus	21
Ver	14
Verbatim	1
Verdun	1
Vere	4
Verefore	1
Verg	18
Verges	9
Verily	5
Vernon	13
Vernons	1
Verona	30
Verona;	3
Veronas	2
Veronesa	1
Very	55
Vex	3
Vexations	1
Vexed	1
Vexing	1
Via	5
Vice	1
Vicentio	2
Vices	2
Vicious	1
Victorious	3
Victory	1
Videlicet	1
Video	1
Videsne	1
Vienna	11
Viewing	1
Vile	2
Vilely	2
Vileness	1
Villain	24
Villainous	2
Villains	6
Villainy	3
Villiago	1
Vincentio	14
Vincentio;	2
Vincentios	2
Vines	1
Vint	1
Vintner	3
Viola	4
Viola;	1
Virgilia	3
Virginity	4
Virginius	2
Virgins	1
Virgos	1
Virtue	16
Virtuous	3
Viscount	1
Visit	5
Visor	3
Vitruvio;	1
Vive	1
Voicd	1
Voice	1
Volquessen	1
Volsce	2
Volsces	21
Volsces;	1
Volscian	9
Volscians	7
Volt	2
Voltemand	6
Volumes	1
Volumnia	1
Volumnius	8
Volunteers	1
Vouch	1
Vouchsafd	1
Vouchsafe	15
Vow	2
Vows	2
Vulcan	3
Vulcans	3
WALES	24
WALL	6
WALTER	5
WARDER	3
WARRANTIES	2
WARRANTY	1
WARRANTY;	1
WART	4
WARWICK	241
WARWICK;	2
WATCH	31
WATCHMAN	13
WATCHMEN	1
WEAVER	2
WELL	2
WELSH	1
WESTMINSTER	3
WESTMORELAND	56
WHAT	2
WHITMORE	11
WIDOW	41
WIDOWS	3
WIFE	11
WILL	1
WILLIAM	267
WILLIAMS	32
WILLOUGHBY	12
WILTSHIRE	1
WINCHESTER	39
WINDSOR	1
WINTER	1
WINTERS	1
WITCH	50
WITH	221
WIVES	1
WOLSEY	93
WOMEN	1
WOODVILLE	4
WORKS	221
WORLD	221
WORTHIES	1
WOrthies	1
WRITE	1
Wade	1
Wafting	1
Wagd	1
Wailing	1
Wait	6
Waiting	1
Wakd	1
Wake	4
Wakefield	3
Waking	3
Wales	49
Wales;	3
Walk	8
Walk;	1
Walkd	1
Walking	1
Walks	4
Wall	6
Wall;	1
Wallets	1
Wallon	1
Walloon	1
Walls	1
Walter	20
Walters	1
Want	7
Wanting	4
Wanton	2
Wants	1
Wantst	1
War	7
Warble	1
Warders	1
Ware	3
Warkworth	4
Warlike	1
Warm	2
Warrant	1
Warrants	1
Warrst	1
Wars	2
Warst	1
Wart	4
Wart;	2
Warts	1
Warwick	159
Warwick;	9
Warwicks	13
Warwickshire	4
Was	212
Wash	5
Washd	1
Washes	3
Washford	1
Washing	1
Wast	18
Waste	1
Wasted	1
Watch	40
Watchd	1
Watching	1
Watchman	1
Watchmen	3
Water	1
Waterford	1
Waterton	1
Wave	1
Wax	1
We	738
Weak	4
Weakned	1
Weakness	1
Weapons	2
Wear	14
Wearing	2
Wears	3
Weary	5
Weaves	1
Weaving	1
Wed	2
Wedded	1
Wedding	1
Wedges	1
Wednesday	15
Weed	1
Weeds	2
Weeke	1
Ween	1
Weep	6
Weeping	4
Weeps	3
Weepst	1
Weigh	7
Weighd	2
Weighing	1
Weighs	1
Welcome	91
Welcome;	1
Weld	1
Well	717
Well;	9
Welladay	1
Wellliking	1
Wellminded	1
Welsh	26
Welsh;	1
Welshman	5
Welshman;	1
Welshmen	6
Welshwomen	1
Wenches	1
Wend	1
Went	6
Wentst	1
Wept	2
Were	190
Weret	9
Wert	13
West	13
Western	1
Westminster	14
Westminster;	2
Westmoreland	36
Westmoreland;	2
Wet	1
What	2321
Whateer	14
Whatever	5
Whats	226
Whatsoever	1
Whatyecallt;	1
Whave	1
Wheer	1
Wheeson	1
When	847
Whenas	1
Whence	17
Wheneer	1
Whenever	1
Whens	1
Whensoever	1
Whent	1
Where	585
Whereafter	1
Whereas	1
Whereat	3
Whereby	4
Whereer	2
Wherefore	64
Wherefores	1
Wherein	66
Whereof	23
Whereon	14
Wheres	73
Wheresoever	1
Wheret	1
Whereto	18
Whereupon	2
Wherever	4
Wherewith	4
Whether	41
Whew	1
Which	904
While	70
Whiles	51
Whilst	56
Whip	7
Whippd	1
Whips	1
Whipt	1
Whisper	2
Whispering	1
Whispers	9
Whistle	2
Whistling	1
White	5
Whitebeards	1
Whitehall	1
Whitehanded	1
Whiteliverd	1
Whiter	1
Whither	50
Whitmore	3
Whitsun	2
Who	657
Whoa	1
Whoahohoa	1
Whoeer	6
Whoever	10
Whole	1
Wholly	1
Whom	90
Whonay	1
Whoop	3
Whoopd	1
Whore	2
Whoreson	1
Whos	65
Whose	235
Why	1206
Wicked	1
Wide	1
Widow	9
Wife	36
Wild	1
Will	469
Willd	1
William	80
William;	1
Williams	1
Willing	4
Willingly;	1
Willoughby	3
Willow	1
Willt	18
Wilt	76
Wiltshire	6
Wiltshires	1
Win	6
Winchester	24
Winchester;	2
Winchesters	1
Wincot	1
Wind	3
Windchanging	1
Winding	1
Window	2
Winds	1
Windsor	38
Windy	1
Wine	2
Wingfield	1
Wingham	1
Wings	1
Wink	2
Winner	1
Winning	1
Winnow	1
Winter	2
Winter;	1
Winters	1
Wipd	1
Wipe	3
Wiped	1
Wisdom	5
Wise	4
Wisely	1
Wish	4
Wishd	2
Wishers	1
Wishes	1
Wishing	4
Wit	4
Witches	9
Witchs	1
With	993
Withal	6
Withdraw	8
Withdraw;	1
Withdrew	1
Wither	2
Withhold	3
Within	154
Withold	1
Without	81
Witness	20
Witnessing	1
Wittenberg	4
Wittol	1
Witty	1
Wives	3
Woe	14
Woes	1
Wolsey	7
Wolseyhere	1
Wolves	1
Woman	3
Women	15
Womens	1
Woncot	1
Wonder	5
Wondrous	1
Wont	1
Woo	1
Wood	10
Woodstock	2
Woodstocks	1
Woodville	3
Wooing	2
Wool	1
Woot	3
Wor	35
Worcester	27
Worcesters	1
Word	2
Words	11
Work	6
Working	1
Works	5
World	6
Worm	2
Worms	1
Wormwood	1
Worse	10
Worshipful	1
Worst	1
Worth	4
Worthies	11
Worthily	3
Worthy	31
Worthy;	1
Worthys	1
Wot	1
Wotting	1
Would	272
Wouldst	20
Wouldt	1
Wound	3
Wounded	2
Wounding	1
Wounds	4
Wrappd	2
Wrath	1
Wrathkindled	1
Wreckd	2
Wrench	3
Wrest	1
Wrested	1
Wretched	5
Wretches	1
Wringing	1
Wrinkles	2
Writ	4
Write	19
Writes	4
Writing	2
Writings	1
Written	1
Wrong	4
Wrought	1
Wye	3
X	4
XI	3
XII	2
XIII	2
XIV	1
XV	1
Xanthippe	1
YORK	256
YORKISTS	2
YORKS	1
YORKs	2
YOU	32
YOUNG	25
YOUR	221
Yare	27
Yaughan;	1
Ye	22
Yea	130
Yea;	2
Yead	1
Yearly	2
Yedward	1
Yellow	1
Yerk	1
Yes	170
Yes;	8
Yesterday	1
Yet	420
Yhave	4
Yield	15
Yielded	1
Yields	3
Yokefellow	1
Yokefellows	1
Yon	1
Yond	8
Yonder	13
Yonders	2
Yonds	1
Yorick	1
Yoricks	1
York	216
York;	13
Yorkand	1
Yorks	7
Yorkshire	6
You	1577
Youd	6
Yould	1
Youll	46
Young	36
Younger	3
Youngling	2
Your	650
Youre	11
Yours	8
Yourself	12
Youth	7
Youths	1
Zeal	1
Zenelophon;	1
Zounds	22
a	12665
a;	1
abaissiez	1
abandon	4
abandond	6
abandoned	2
abase	2
abashd	1
abate	8
abated	3
abatement	2
abatement;	1
abatements	1
abatfowling	1
abbess	1
abbey	13
abbey;	1
abbeys	1
abbominable	1
abbot	1
abbots;	1
abbreviated	1
abed	9
abet	1
abhominable	1
abhor	16
abhor;	1
abhorrd	10
abhorrdst	1
abhorred	7
abhorring	2
abhors	4
abide	34
abide;	1
abides	7
abilities	4
abilities;	1
ability	8
abilitys	1
abirding	2
abirding;	2
abject	11
abjectly	1
abjects	1
abjects;	1
abjurd	2
abjure	3
abjure;	1
able	56
able;	1
ableeding	1
ableeding;	1
abler	1
aboard	22
aboard;	4
abode	7
abode;	2
aboded	1
abodements	1
aboding	1
abominable	12
abominably	1
abominations	1
abortive	4
abound	6
abounding	1
aboundst	1
about	348
about;	10
above	122
above;	2
abram	1
abreast	2
abreast;	1
abreeding	1
abrewing	1
abridgd	1
abridge	2
abridged	1
abridgment	3
abridgment;	1
abroach	3
abroad	56
abroad;	6
abroadanon	1
abrogate	1
abrook	1
abrupt	1
abruption	1
absence	53
absence;	2
absent	29
absent;	3
absolute	26
absolute;	1
absolutely	2
absolvd	2
abstains	1
abstemious	1
abstinence	3
abstinence;	1
abstract	6
absurd	4
abundance	12
abundance;	1
abundant	4
abundantly	1
abusd	26
abusd;	2
abuse	45
abused	15
abused;	1
abuser	1
abuses	10
abusing	2
abutting	1
aby	2
abysm	3
academes	2
acapring;	1
accent	16
accents	7
accept	26
acceptable	1
acceptance	8
accepted	3
accepts	3
access	22
accessary	2
accessary;	1
accidence	1
accident	21
accident;	2
accidental	3
accidentally	3
accidents	10
accidents;	4
accite	1
accited	1
accites	1
acclamations	1
accommodate	1
accommodated	2
accommodated;	2
accommodation	1
accommodations	1
accommodo	1
accompanied	8
accompany	6
accompanying	1
accomplices	1
accomplish	3
accomplishd	4
accomplishd;	2
accomplished	1
accomplished;	1
accomplishing	1
accomplishment	1
accompt	4
accord	10
accordant	1
accorded	1
accordeth	1
according	24
accordingly	10
accords	2
accost	2
accosted	1
account	43
account;	1
accountant	1
accounted	6
accounts	2
accountst	1
accoutred	1
accoutrement	2
accoutrements	2
accrue	1
accumulate	1
accumulate;	1
accumulated	1
accumulation	1
accursd	10
accursed	14
accurst	4
accusation	12
accusation;	1
accusations	5
accusations;	1
accusative	1
accusd	21
accuse	34
accused	3
accuser	2
accusers	6
accusers;	1
accuses	2
accuseth	1
accusing	2
accustomd	4
accustomed	2
ace	3
acerb	1
ache	12
aches	5
achievd	7
achieve	13
achieved	3
achievement	2
achievements	3
achiever	1
achieves	1
aching	3
acknowledgd	3
acknowledge	15
acknowledge;	1
acknowledged	1
acknowledgment	1
acknown	1
acold	5
acoming	1
aconitum	1
acorn	4
acquaint	16
acquaintance	34
acquaintance;	2
acquainted	37
acquaints	1
acquird	2
acquire	2
acquireafter	1
acquisition	1
acquit	8
acquittance	3
acquittances	1
acquitted	2
acre	3
acres	4
across	5
across;	1
act	108
act;	9
acted	6
acted;	1
acting	6
action	105
action;	6
actions	23
actions;	1
actiontaking	1
active	6
actively	1
activevaliant	1
activity	3
actor	11
actors	10
actors;	1
acts	20
acts;	1
actual	2
acture	1
acursing	1
acute	2
acutely	1
ad	10
adage	2
adamant	1
adamant;	2
add	34
added	15
adder	11
adders	7
addeth	1
addict	1
addicted	1
addiction	2
adding	7
addition	26
addition;	1
additional	2
additions	4
additions;	1
addle	3
address	8
addressd	5
addressd;	1
addressing	1
addrest	2
adds	5
adhere	2
adheres	3
adieu	55
adieu;	7
adieus	2
adjacent	2
adjoind;	1
adjoining	2
adjourn	1
adjournd	1
adjudgd	3
adjudged	1
adjunct	4
administer	1
administration	1
admirable	14
admiral	2
admiral;	1
admiration	12
admird	4
admird;	1
admire	6
admire;	1
admired	8
admirer	1
admiring	6
admiringly	1
admit	16
admit;	2
admits	6
admittance	9
admittance;	1
admitted	13
admitted;	1
admitting	1
admonish	1
admonishing	1
admonishment	1
admonishments	1
admonition	2
ado	18
adoing	1
adoing;	1
adopt	3
adopted	6
adoption	3
adoptious	1
adoration	2
adorations	1
adord	3
adore	12
adore;	1
adorer	1
adores	2
adorest	1
adoreth	1
adoring	1
adorn	2
adorned	2
adornings	1
adornment	2
adorns	1
adoting	1
adown	1
adowna	2
aducking;	1
adulation	1
adulterate	5
adulterates	1
adulterers	1
adulteress	1
adulteries	1
adulterous	2
adultery	6
adultress	2
adultress;	2
advancd	10
advancd;	2
advance	22
advance;	1
advanced	4
advancement	9
advancements;	1
advances	3
advantage	67
advantage;	3
advantageable	1
advantaged	1
advantageous	2
advantages	10
adventrous	1
adventurd	1
adventure	21
adventures	3
adventuring	1
adventurous	2
adventurously	1
adversaries	10
adversaries;	1
adversary	6
adversarys	3
adverse	12
adversely	1
adversities	1
adversity	5
adversity;	1
advertisd	3
advertise	2
advertised	3
advertisement	4
advice	41
advice;	2
advisd	24
advisd;	3
advise	31
advised	9
advisedly	2
advises	2
advisings;	1
advisor**	1
advocate	7
advocate;	1
advocation	1
adying	1
aediles	3
aer	2
aerial	1
aery	3
aerys	1
afar	20
afeard	30
afeard;	2
afeardthy	1
afeasting;	1
affability	2
affability;	1
affable	6
affair	12
affaire	1
affairs	59
affairs;	6
affect	21
affect;	2
affectation	1
affectation;	1
affectations	1
affected	15
affected;	1
affectedly	1
affecteth	1
affecting	3
affection	66
affection;	3
affectionate	1
affectionately	1
affectiond	1
affections	38
affections;	3
affects	11
affeerd	1
affiancd	1
affiance	3
affianced	1
affied	1
affind	1
affined	2
affinity	1
affirm	4
affirmation	1
affirmatives	1
afflict	12
afflicted	8
affliction	16
afflictions	5
afflicts	2
afford	19
afford;	1
affordeth	1
affords	14
affray	1
affright	8
affright;	1
affrighted	5
affrights	4
affront	2
affronted	1
affy	2
afield	3
afield;	1
afire	3
afloat	2
afoot	25
afore	11
aforehand	1
aforesaid	3
aforet	1
afraid	39
afraid;	2
afresh	4
afront	1
after	317
after;	7
afterdebts	1
afterdinners	2
aftereye	1
afterhours	2
afterinquiry	1
afterloss	1
afterlove	2
aftermeeting	1
afternoon	24
afternoon;	3
aftersupper	1
aftertimes	1
afterward	8
afterwards	37
afterwards;	1
again	690
again;	66
againnot	1
against	455
agate	4
agatering	1
agazd	1
agd	2
age	186
age;	7
aged	24
agent	10
agent;	1
agents	4
ages	18
aggravate	5
aggriefd	1
agile	1
agitation	2
agletbaby	1
agnize	1
ago	30
agoing	1
agone	1
agone;	1
agony	6
agree	15
agree;	3
agreed	12
agreed;	2
agreeing	2
agreeing;	1
agreement	4
agrees	4
aground;	1
agrowing	1
ague	9
agued	1
agueproof	1
agues	5
ah	16
ahanging	1
aheight	1
ahigh	1
ahold	1
ahold;	1
ahooting	1
ahorseback	2
ahungry	2
ai	1
aid	52
aid;	6
aidance	1
aidant	1
aided	1
aiding	2
aidless	1
aids	2
ail	2
ailst	1
aim	37
aim;	2
aimd	5
aimed	1
aimest	1
aiming	1
aims	4
aimst	1
ainsi	1
air	163
air;	18
aird	1
airdrawn	1
aired	1
airless	1
airs	6
airthe	1
airy	14
akilling	1
alabaster	3
alack	20
alacrity	4
alarm	4
alarms	1
alarum	22
alarum;	4
alarumd	1
alarums	6
alas	45
albeit	5
alchemist	1
alchemist;	1
alchemy	3
alderliefest	1
alderman	1
aldermans	1
ale	14
alehouse	9
alehouse;	1
alehouses	1
ales	2
aleven	1
alewashd	1
alewife	1
alewifes	1
alias	3
alien	3
alife	1
alight	1
alighted	3
alights	1
aliis	1
alike	36
alike;	5
alive	80
alive;	6
all	3356
all;	52
alla	1
allabhorred	1
alladmiring	1
allay	12
allayd	1
allayed	1
allaying	1
allayment	1
allays	1
allbinding	1
allchanging	1
allcheering	1
alldisgraced	1
alldreaded	1
alleating	1
allegation	1
allegations	1
allege	2
alleged	2
allegiance	24
allegiancemark	1
allegiant	1
allending	1
alley	2
alleys	2
allhail	2
allhailed	1
allhating	1
allhonourd	1
allhurting	1
alliance	16
allicholy	1
allied	4
allied;	1
allies	4
allies;	2
alligant	1
alligator	1
alllicensd	1
allobeying	1
alloblivious	1
allons	1
allonsnous	1
allot	1
allotted	1
allottery	1
allow	26
allowable	1
allowance	8
allowance;	2
allowd	14
allowd;	3
allowed	4
allowing	2
allows	3
allpraised	1
alls	18
allseeing	1
allshaking	1
allshunnd	1
alltelling	1
alltyrant	1
allunable	1
allurd	1
allure	2
allurement	1
alluring	1
allusion	2
allwatched	1
allworthy	1
ally	1
allycholly;	1
almanac	2
almanack;	1
almanacs	1
almighty	4
almond	1
almost	139
alms	10
alms;	2
almsbasket	1
almsdeed;	1
almsdrink	1
almshouses	1
almsmans	1
aloes	1
aloft	20
aloft;	1
alone	212
alone;	19
along	101
along;	7
aloof	16
aloof;	2
aloud	23
aloud;	2
alphabet	1
alphabetical	1
already	129
already;	9
also	39
altar	10
altar;	1
altars	3
alter	15
alteration	10
alterd	14
altered	2
alternatively	2
alters	4
although	37
altitude	3
altogether	23
altogethers	1
altred	4
altring	2
alway	1
always	58
alwayswindobeying	1
am	2101
am;	8
amain	14
amaking	2
amazd	23
amazd;	5
amaze	8
amazed	10
amazed;	1
amazedly	3
amazedly;	1
amazedness	2
amazement	11
amazement;	1
amazes	1
amazeth	1
amazing	1
ambassador	16
ambassador;	1
ambassadors	11
amber	6
ambercolourd	1
ambiguides	1
ambiguities	1
ambiguous	1
ambition	40
ambition;	3
ambitions	3
ambitious	30
ambitious;	3
ambitiously	1
amble	1
ambled	1
ambles	4
ambling	3
ambo	1
ambuscadoes	1
ambush	8
amen	27
amen;	1
amend	16
amend;	2
amended	4
amending;	1
amendment	4
amends	21
amends;	3
amerce	1
amercy	1
amesace	1
amiable	7
amid	1
amis	1
amis;	1
amiss	33
amiss;	3
amities	1
amities;	1
amity	22
amnipotent	1
among	68
amongs	1
amongst	27
amorous	23
amorously	1
amort	2
amount	7
amounts	3
ample	16
ampler	1
amplest	2
amplified;	1
amplify	3
amply	3
an	1564
an;	1
analyzed	1
anape	1
anatomizd	2
anatomize	3
anatomy	4
ancestor	5
ancestors	18
ancestors;	2
ancestry	4
anchor	5
anchor;	1
anchorage	1
anchord	1
anchored	1
anchoring	2
anchors	5
ancient	68
ancient;	3
ancientry	1
ancientry;	1
ancients	1
ancientst	1
and	18599
anda	1
andirons	1
andprithee	1
andt	1
anew	7
anew;	1
angel	49
angel;	3
angelical	1
angellike	2
angels	33
angels;	2
anger	50
anger;	3
angerd	4
angerly	2
angers	5
anges	1
angld	1
angle	8
angler	1
angling	2
angling;	1
angred	4
angrily;	1
angry	86
angry;	6
anguish	5
anguish;	1
anhungry;	1
anight	1
animal	3
animals	5
animis	1
ankle;	1
annals	1
annexd	1
annexed	1
annexions	1
annexment	1
annothanize	1
announces	1
annoy	8
annoyance	5
annoyd	1
annoying	1
annual	4
anoint	2
anointed	16
anon	89
anon;	5
anonymous	1
another	335
another;	11
anothers	24
answer	354
answer;	5
answerable	2
answerable;	1
answerd	36
answerd;	1
answered	15
answered;	2
answerest	1
answering	6
answernone	1
answers	22
answers;	2
answerst	2
answert	1
ant	36
antechamber	2
anthem	1
anthems	1
antic	11
anticipate	1
anticipates	1
anticipatest	1
anticipation	1
anticly	1
antics	2
antidote	1
antidotes	1
antipathy	1
antiquary	1
antique	15
antiquity	6
antres	1
anvil	2
any	695
any;	4
anybody	4
anyone	1
anys	2
anything	97
anything;	3
anywhere	5
anywhere;	1
ap	1
apace	22
apace;	4
apart	36
apart;	3
apartment	1
apartments	2
ape	20
ape;	1
apebearer;	1
apes	11
apiece	3
apiece;	1
apish	5
apology	5
apoplexd;	1
apoplexy	4
apostle	1
apostles;	1
apostrophas	1
apothecary	5
appal	2
appalld	1
appalled	1
appals	1
apparel	39
apparelld	5
apparelled	1
apparent	24
apparently	1
apparition	5
apparitions	1
appeach	2
appeachd	1
appeal	17
appeal;	1
appeald	1
appeals	1
appear	109
appear;	5
appearance	13
appeard	18
appeard;	1
appeared	6
appeareth	3
appearing	7
appears	48
appears;	1
appeasd	4
appease	3
appease;	1
appeased	1
appelants	1
appele	1
appelee	1
appeles	1
appelezvous	4
appellant	5
appellants	1
appelons	1
appendix	1
apperil	1
appertain	2
appertaining	3
appertainings	2
appertains	1
appertinent	2
appertinents	1
appetite	34
appetite;	4
appetites	4
applaud	10
applauded	1
applauding	1
applause	11
applause;	1
applauseand	1
applauses	1
apple	9
apple;	1
applejohn	1
applejohns	1
apples	2
apples;	1
appletart	1
appliance	3
appliances	2
applications	1
applied	4
applies	2
apply	16
applying	1
appoint	11
appointed	28
appointed;	2
appointment	9
appointment;	1
appointments	3
appoints	1
apprehend	16
apprehended	9
apprehends	3
apprehendst	1
apprehension	13
apprehension;	1
apprehensions	3
apprehensive	2
apprehensive;	1
apprenticehood	1
appris	1
approach	55
approach;	4
approachd	4
approachers	1
approaches	12
approaches;	3
approacheth	3
approaching	4
approbation	12
approbation;	1
approof	4
appropriation	1
approvd	4
